Iteration,Duration
0,431.7574610710144
1,445.7942397594452
2,448.99691939353943
3,434.0110385417938
4,289.2421600818634
5,208.59171390533447
6,207.9221215248108
7,207.98355746269226
8,207.46217274665833
9,228.51239681243896
10,207.82049322128296
11,207.99658274650574
12,207.4100902080536
13,207.22235083580017
14,206.9191734790802
15,206.98272514343262
16,166.1454417705536
17,162.24555277824402
18,163.48391222953796
19,168.8805091381073
20,161.46363854408264
21,162.36086201667786
22,161.34578251838684
23,163.6004068851471
24,164.9860816001892
25,164.45157527923584
26,165.25880908966064
27,164.22677874565125
28,165.40255498886108
29,165.75929403305054
